X,Y,TreeType,dbh_cm
328529.698,5527980.726,Ash,33
328519.038,5527985.35,Ash,30
328507.753,5527987.555,Ash,20
328497.327,5527987.956,Ash,18
328484.346,5528003.057,Ash,30
328511.541,5528001.769,Ash,30
328534.245,5527993.766,Ash,5
328573.475,5527981.674,Ash,25
328545.136,5527931.925,Ash,36
328566.78,5527951.595,Ash,20
328566.527,5527997.293,Ash,20
328565.471,5528016.492,Ash,38
328552.923,5528022.579,Ash,20
328552.991,5528011.184,Ash,20
328633.994,5528202.594,Ash,13
328550.265,5528421.309,Ash,13
328594.348,5528420.046,Ash,30
328617.876,5528431.157,Ash,30
328600.633,5528431.436,Ash,20
328583.971,5528433.847,Ash,20
328572.146,5528434.6,Ash,23
328557.551,5528433.579,Ash,5
328547.249,5528434.921,Ash,13
328637.9,5528418.499,Ash,5
328650.398,5528418.009,Ash,10
328660.815,5528417.449,Ash,5
328677.659,5528417.355,Ash,20
328703.143,5528416.53,Ash,15
328653.72,5528432.444,Ash,36
328628.151,5528432.553,Ash,20
328721.17,5528416.447,Ash,25
328736.723,5528416.533,Ash,36
328758.807,5528414.695,Ash,13
328781.413,5528414.047,Ash,13
328796.029,5528414.254,Ash,13
328810.362,5528412.391,Ash,13
328823.517,5528412.691,Ash,25
328844.831,5528411.411,Ash,30
328871.547,5528410.735,Ash,23
328882.373,5528410.394,Lilac,3
328908.603,5528409.428,Ash,23
328926.174,5528407.903,Ash,25
328952.795,5528407.244,Ash,23
328970.708,5528407.14,Ash,20
328994.626,5528407.005,Ash,30
329037.41,5528412.567,Ash,30
329035.687,5528425.974,Ash,23
329027.574,5528424.781,Ash,13
329004.909,5528420.549,Ash,30
328994.121,5528419.965,Ash,30
328959.471,5528419.332,Lilac,3
328935.399,5528422.014,Ash,20
328914.585,5528422.627,Ash,15
328863.647,5528424.071,Ash,20
328845.449,5528424.857,Ash,20
328822.632,5528426.674,Ash,20
328806.969,5528425.769,Ash,25
328789.969,5528425.983,Ash,15
328755.605,5528428.069,Ash,30
328743.765,5528427.979,Ash,15
328732.899,5528428.709,Ash,15
328535.195,5528395.965,Pine,66
328283.11,5527469.157,Ash,18
328284.04,5527519.003,Ash,20
328284.415,5527528.339,Maple,20
328273.994,5527512.856,Ash,25
328272.74,5527494.11,Ash,15
328271.98,5527474.449,Ash,15
328270.296,5527466.701,Ash,10
328286.182,5527463.224,Fir,10
328277.011,5527644.895,Ash,25
328276.855,5527622.735,Ash,25
328276.897,5527603.271,Ash,25
328275.177,5527577.306,Honey Locust,15
328288.37,5527619.868,Honey Locust,15
328288.496,5527640.451,Honey Locust,15
328286.356,5527547.677,Ash,25
328280.74,5527714.687,Ash,15
328292.343,5527716.184,Honey Locust,15
328355.511,5527755.505,Ash,15
328343.001,5527753.273,Ash,25
328331.026,5527751.49,Ash,25
328319.516,5527749.483,Ash,25
328307.237,5527746.924,Ash,20
328295.446,5527744.856,Ash,20
328283.371,5527739.119,Ash,20
328261.292,5527458.941,Ash,15
328253.838,5527462.646,Ash,15
328232.085,5527460.188,Apple/Crabapple,51
328241.246,5527432.309,Ash,23
328242.713,5527408.831,Ash,23
328262.672,5527399.105,Oak,25
328254.916,5527421.009,Birch,20
328253.856,5527435.17,Ash,20
328265.951,5527445.795,Ash,20
328281.508,5527444.749,Ash,18
328262.938,5527545.717,Ash,18
